variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
b[6],-0.1099859563369025,-0.099390763,0.12947869957586317,0.1294551308127,-0.337963171,0.08301540389999999,1.0014530852127927,3490.401462040056,3065.66546093124
b[7],-0.1729179559721315,-0.162512665,0.14316921538566227,0.147221520243,-0.43241879399999994,0.03627637184999992,1.0005613631698502,2458.20959053019,3112.2701889244904
b[8],-0.01893232071959727,-0.015801593500000002,0.10810536031786017,0.1013265445668,-0.1967703985,0.15460479649999995,1.0008640805719202,3360.1493544093278,3158.6850500857095
b[9],0.18366776607849755,0.16529431,0.16732826727943,0.16969705424700002,-0.050174809349999995,0.48222543749999996,1.000012748501497,2930.78929683935,2906.257279455776
b[10],0.2658183743482405,0.261200475,0.1623840015772833,0.16487563904699998,0.010944237200000012,0.5447470849999997,1.0004859668818076,1791.283963795709,1651.378134834592
b[11],0.008882805630323001,0.006587523,0.13701089440215927,0.12307939483769999,-0.21701054549999998,0.2445039634999999,1.0020292351711437,4740.36010680603,3125.7118572297754
b[12],0.06693652656892675,0.059662624,0.11499452723237696,0.11026876863029998,-0.10942017849999999,0.2634833439999999,1.0010456506145213,4145.9526964806,3166.0172614075996
b[13],0.12591123138450125,0.11466703,0.13078916374240426,0.1293423249678,-0.068720776,0.3573964795,1.0015668543105372,2733.7135944089987,2784.046013440207
b[14],0.014389456418232246,0.0106215195,0.1255314944799349,0.1151732435301,-0.1912183455,0.22459616599999965,1.0013645892496488,4356.712749123509,3121.321586308244
b[15],-0.03496200144283775,-0.0277857865,0.10864650564447938,0.1012344246984,-0.220775235,0.13660329649999986,1.0000835132121666,3817.8594225210218,3428.3941590129266
b[16],0.09810565405214924,0.08900527250000001,0.12458580354834187,0.12125867463843001,-0.09370707504999999,0.31700298999999993,1.0006181130232863,3478.041250039443,2598.3107546288893
b[17],-0.10014474441488475,-0.08772050149999999,0.1365054160946909,0.13198127713281,-0.3394564905,0.1036404185,1.0013248938851127,3184.9398427542105,3266.961634134439
b[18],-0.09383982916764375,-0.0836631735,0.12072914912381551,0.11747538589185,-0.3082139675,0.08594157269999991,0.9999610798823744,2968.7895057663077,2899.382771037704
theta[1],-0.533083003112,-0.52709027,0.12929212117555763,0.12947712592499996,-0.754131633,-0.32970564150000004,1.0002242122915963,3818.3766450500934,2901.183475160838
theta[2],-0.642373768825,-0.64017258,0.13968224907788968,0.14094107096999997,-0.879526563,-0.4199341945000001,1.0030246053066336,2423.5051720553715,2494.6196440986814
theta[3],-0.42480361504975,-0.428267085,0.11976600134616522,0.11603805374699999,-0.6212064245,-0.2255264635000002,1.0001412793612197,4515.123036957026,3435.025222961023
theta[4],-0.4562651859075,-0.45382272,0.13029397116871153,0.12834410076600003,-0.6707040955,-0.24183719800000006,1.0005772532068626,4178.94497053558,3304.995511314577
theta[5],-0.4055410132685725,-0.409385075,0.1180217079768138,0.11629310542500002,-0.5929603274999999,-0.209531627,1.0009729447449023,3631.919022111645,3042.9534695718125
theta[6],-0.55593913803,-0.549202745,0.13965897968872829,0.139969360104,-0.7960290889999999,-0.3375662300000001,1.000541803145281,3556.9358867515157,3034.9169875281004
theta[7],-0.6188711377475,-0.60748377,0.1541452550856895,0.15627266722200003,-0.8852861435,-0.3859303835000002,1.000077389511454,2593.898939279482,2964.325212201803
theta[8],-0.46488550246525,-0.46412655999999997,0.1092473119105457,0.10756692954,-0.6479259119999999,-0.2853076075,1.0019182561527138,4896.196477780538,3410.2607559898092
theta[9],-0.2622854156202395,-0.276771,0.18077803570926515,0.181901446797,-0.5304026344999999,0.05667073204999956,1.001132744229792,2508.8002475175335,2679.7287980208257
theta[10],-0.1801348073741725,-0.18712677500000002,0.1712354137415659,0.17335459879499993,-0.452919915,0.108750616,1.0010170049776257,1751.4624891532685,2059.257319860483
theta[11],-0.437070376112935,-0.44131476000000003,0.15206945664193747,0.14272787825100003,-0.6865252645000001,-0.17772340400000006,1.0008737761479025,3777.6472395881297,3010.0372108922484
theta[12],-0.3790166551552025,-0.382182485,0.12330356548160383,0.12148334702699999,-0.577606913,-0.1740490250000001,1.000464900250198,3738.4174945734085,3123.1068602031514
theta[13],-0.320041950275469,-0.327176605,0.13942287213643345,0.13863627290099997,-0.5373109545000001,-0.08130371595000042,1.0004904349657755,2874.919993579736,3093.972117395028
theta[14],-0.431563725247775,-0.43051533,0.13495316705309598,0.127092563976,-0.6591650244999999,-0.208236832,1.0010579393229164,4185.5878991623085,2837.1576574199967
theta[15],-0.48091518307075,-0.479231395,0.11696117673776847,0.11483772596099996,-0.6775334055,-0.289855823,1.0003867423767199,3792.9667489746816,2681.726851006817
theta[16],-0.347847527581505,-0.35245243,0.13352311644688683,0.13345011586200003,-0.5565314264999999,-0.11985766850000001,1.0005560333054002,3509.1502957195266,3394.474323072631
theta[17],-0.54609792602375,-0.53899709,0.14354417948979287,0.1413139448700001,-0.7948283135,-0.32527191950000006,1.0008889382877975,3643.8442869741752,3301.5206758036757
theta[18],-0.53979301082,-0.5318877799999999,0.12926557517322887,0.130025902902,-0.7581555575,-0.3379142865000001,1.0008563021251318,3132.370827294886,2889.5072225599324
theta[19],-0.947995929505,-0.94264092,0.12854544210553356,0.12864013150800005,-1.16225112,-0.7414838480000001,1.0001562734933946,4250.149850832951,3451.4523997274396
theta[20],-1.0572866946075,-1.0534027,0.13577906608472312,0.13811909013000007,-1.2909666450000001,-0.8431272175000001,1.001636377399278,2578.5003664556652,2453.7645004437422
theta[21],-0.8397165414525,-0.841729205,0.12167382604331495,0.12090598552199995,-1.031532925,-0.6345230829999999,1.0018486683358636,4988.078086374039,3227.9572328239237
theta[22],-0.8711781119125,-0.869712135,0.12941908287019813,0.127652252889,-1.08334463,-0.659132572,1.0003947380013676,5023.533795922527,3443.8596390149623
theta[23],-0.820453939305,-0.82252573,0.11637652854959339,0.11683378740600002,-1.008188815,-0.6272490385000001,1.0009204955524333,5104.902342383681,3037.0704237902983
theta[24],-0.970852063975,-0.96414529,0.1366004930525578,0.13617091666499992,-1.206664465,-0.7554993040000002,1.0003461152465138,4512.867702393245,3366.7669053796158
theta[25],-1.0337840644075,-1.0250759999999999,0.1494506604785407,0.14941428564299983,-1.294741265,-0.804226808,0.9999273823015238,2761.206734151697,3100.683403420366
