dataset,margin_type,agegroup,region,estimate,std_error,variance,ci_lower,ci_upper,cv,n_unweighted,weighted_total
hnir52,direct_age_by_region,<19,EL PARAISO,0.3271995768379856,0.0940169709874854,0.008839190833661673,0.14292969976696712,0.5114694539090041,0.2873383025004288,33,31.346858999999995
hnir52,direct_age_by_region,35+,EL PARAISO,0.2589952457300303,0.024398508826562096,5.952872329598285e-4,0.211175047153486,0.3068154443065746,0.09420446602326611,226,219.2675229999998
hnir52,direct_age_by_region,25-34,FRANCISCO MORAZAN,0.2381678508372373,0.019000315168887477,3.6101197651705553e-4,0.20092791741130778,0.2754077842631668,0.07977699383898877,510,819.6305139999993
hnir52,direct_age_by_region,20-24,FRANCISCO MORAZAN,0.26254843398855293,0.0297191499031802,8.832278709676957e-4,0.20429997052717272,0.3207968974499331,0.1131949235106691,259,396.4819040000006
hnir52,direct_age_by_region,<19,FRANCISCO MORAZAN,0.3644523900051026,0.04532732922532878,0.0020545667747013446,0.2756124572080684,0.4532923228021368,0.12437105769753401,75,132.41216500000002
hnir52,direct_age_by_region,35+,FRANCISCO MORAZAN,0.191793192775735,0.018087409506738025,3.271543826644371e-4,0.1563425215689011,0.2272438639825689,0.09430683771914547,458,751.8852619999999
hnir52,direct_age_by_region,25-34,INTIBUCA,0.3995515650308663,0.02896020363635938,8.38693394659403e-4,0.34279060891865604,0.4563125211430766,0.07248176748881495,294,117.6215140000001
hnir52,direct_age_by_region,20-24,INTIBUCA,0.591053440951155,0.02848751309785224,8.115384025003028e-4,0.5352189412702515,0.6468879406320585,0.04819786355022077,171,66.94207200000002
hnir52,direct_age_by_region,<19,INTIBUCA,0.6625765656903044,0.07984542714543111,0.006375292236036347,0.5060824041550427,0.8190707272255662,0.12050747231339863,36,15.460417
hnir52,direct_age_by_region,35+,INTIBUCA,0.5038485770957903,0.041161112476719545,0.0016942371803211574,0.4231742790778178,0.5845228751137629,0.08169341811774951,220,88.70161399999994
hnir52,direct_age_by_region,25-34,LA PAZ,0.38650943446226965,0.03287510280502909,0.0010807723844412315,0.32207541697636094,0.45094345194817836,0.08505640451122881,275,108.48922500000015
hnir52,direct_age_by_region,20-24,LA PAZ,0.4340994396355975,0.04426069656835085,0.0019590092607156247,0.34735006843097427,0.5208488108402207,0.10195981041925614,119,47.802286999999986
hnir52,direct_age_by_region,<19,LA PAZ,0.3315338214754002,0.07219554901816706,0.005212197298034563,0.19003314555569678,0.47303449739510367,0.2177622442768602,35,13.329725999999997
hnir52,direct_age_by_region,35+,LA PAZ,0.3942406101527497,0.02713788139251127,7.364646064740094e-4,0.34105134000670795,0.44742988029879144,0.0688358344971022,219,84.88104000000007
hnir52,direct_age_by_region,25-34,LEMPIRA,0.49482124626002283,0.032530011721861395,0.0010582016626244398,0.43106359486850876,0.5585788976515369,0.06574093567673375,241,140.69137799999996
hnir52,direct_age_by_region,20-24,LEMPIRA,0.5210494958455014,0.027409966017851055,7.513062370997496e-4,0.4673269496330466,0.5747720420579563,0.05260530186939956,166,94.90602599999991
hnir52,direct_age_by_region,<19,LEMPIRA,0.501118443739484,0.07694834436538671,0.005921047700574141,0.3503024601133405,0.6519344273656276,0.153553207483598,39,22.192891
hnir52,direct_age_by_region,35+,LEMPIRA,0.5518392724829914,0.033077687526042884,0.001094133412070533,0.4870081962400775,0.6166703487259052,0.059940800112341396,223,127.71264300000004
hnir52,direct_age_by_region,25-34,OCOTEPEQUE,0.36206806122755564,0.03836287535434913,0.001471710205453328,0.2868782071896321,0.4372579152654792,0.10595487275039844,206,74.37729500000009
hnir52,direct_age_by_region,20-24,OCOTEPEQUE,0.4731076352397393,0.045988908911388855,0.0021149797428600212,0.382971030085124,0.5632442403943546,0.09720601716369416,139,50.12108500000006
hnir52,direct_age_by_region,<19,OCOTEPEQUE,0.4302841583234345,0.09091734073831535,0.008265962846926937,0.25208944490618024,0.6084788717406887,0.2112960446709612,32,11.635977999999998
hnir52,direct_age_by_region,35+,OCOTEPEQUE,0.45385441711382796,0.04378632061644224,0.0019172418731258749,0.3680348056900775,0.5396740285375784,0.09647657699332363,192,68.25666300000003
hnir52,direct_age_by_region,25-34,OLANCHO,0.3189854598631579,0.02434165209449493,5.925160266894295e-4,0.2712766984337439,0.3666942212925719,0.07630959763789012,266,270.8749610000001
