country,agegroup,region,estimate,std_error,variance,ci_lower,ci_upper,cv,n_unweighted,weighted_total
Honduras,Adolescent,COMAYAGUA,0.36053099868638894,0.057591013860120985,0.0033167248774366473,0.24765468568740479,0.4734073116853731,0.15973942343364775,132,77.97662009427525
Honduras,Young Adult,COMAYAGUA,0.23111930571276612,0.0243206426635915,5.914936595701071e-4,0.1834517220112585,0.27878688941427376,0.10522981880975824,756,498.98749065380866
Honduras,Adolescent,COPAN,0.25684526738483465,0.047347449984633916,0.0022417810200474103,0.16404597065514068,0.3496445641145286,0.18434231032060486,132,77.93227377176395
Honduras,Young Adult,COPAN,0.23677947642645572,0.02397212654984526,5.74662851321796e-4,0.1897949717559226,0.28376398109698886,0.10124241725524323,699,338.9320791156253
Honduras,Adolescent,CORTES,0.3241108871540639,0.04595537081850176,0.0021118961070660035,0.23404001545361747,0.4141817588545103,0.1417890377642797,199,251.98058355860044
Honduras,Young Adult,CORTES,0.21632507824234246,0.015857087860432082,2.514472354134625e-4,0.18524575713620828,0.24740439934847663,0.07330212469710916,1159,1441.4230679742566
Honduras,Adolescent,DISTRITO CENTRAL,0.4562861393660045,0.11599932134658986,0.013455842552869418,0.22893164729560017,0.6836406314364087,0.2542249508340695,16,3.94298416825664e-5
Honduras,Young Adult,DISTRITO CENTRAL,0.14469415851070896,0.02392868354610983,5.725818962498674e-4,0.09779480056287754,0.1915935164585404,0.16537421961190538,207,5.319985345202156e-4
Honduras,Adolescent,EL PARAISO,0.21327566393481415,0.04614230380918268,0.0021291122008189147,0.12283841030511078,0.3037129175645175,0.21635053412979025,140,73.43918710160585
Honduras,Young Adult,EL PARAISO,0.15392043888890572,0.016665642093802637,2.7774362639872635e-4,0.12125638060581787,0.18658449717199357,0.10827439301827423,737,385.271545925543
Honduras,Adolescent,FRANCISCO MORAZAN,0.2919854011754139,0.054343125459530475,0.0029531752847102694,0.18547483246739252,0.3984959698834353,0.1861158990852531,146,163.29133668743256
Honduras,Young Adult,FRANCISCO MORAZAN,0.1895675355398144,0.0160940849092583,2.590195690664157e-4,0.15802370875353855,0.22111136232609024,0.08489895099088893,1105,1365.7567607434735
Honduras,Adolescent,GRACIAS A DIOS,0.397005097760049,0.07966271169135611,0.006346147634020125,0.2408690519341932,0.5531411435859048,0.20065916569037226,97,18.035343276198645
