variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
b[9],0.2065138478106175,0.20822120500000002,0.14109319177445584,0.137424002772,-0.029197420599999996,0.43710271949999985,0.9993838744235852,2347.451322702712,2770.8095159937966
b[10],0.19491248532765526,0.19547878,0.14764438190946655,0.14159285009939998,-0.0505978015,0.43849642899999997,1.0005171955096615,2268.1375819476857,2394.438932404737
b[11],-0.09712144498545475,-0.095685944,0.18195100067121553,0.18155603213160001,-0.397735811,0.1994215454999997,1.0017515415632228,3652.8888287356863,2940.844203882944
b[12],0.53988180734,0.54187892,0.1309877108755614,0.12911689119,0.319158321,0.746797409,0.9997861857341827,2223.755088334582,2661.7992395105616
b[13],-0.171137923194555,-0.17124338,0.1630431312134531,0.16244692304609998,-0.441882696,0.10101092649999986,1.0003165601245922,2786.064355960645,2818.4303457896312
b[14],0.363194798740375,0.36398200999999997,0.15573248048801955,0.155619077838,0.10726174350000005,0.6226639144999999,1.000438960201741,2579.5956983219703,3055.6715465154025
b[15],0.2481786439275275,0.246606875,0.16262169709249516,0.158211277917,-0.01551313255,0.5129828249999999,1.0013659449560166,2734.4305858782573,2653.1550038298396
b[16],-0.1418780606678125,-0.13842799500000003,0.16184456554269078,0.16389051806399996,-0.4126224635,0.11607356049999992,0.9993129754163691,2696.1092082115215,3043.401398839761
b[17],-0.15802807202262,-0.1596187,0.1725723892726508,0.17187182533079998,-0.43925675700000005,0.12773046299999993,0.9999264636948082,3212.0309214460476,2935.9496676173962
b[18],-0.10067663813103593,-0.10251191000000001,0.17046011496384159,0.17096431400999998,-0.37693797100000004,0.1821729239999999,1.001194860816758,2747.9429971487084,2708.429531063233
b[19],-0.39248279322442503,-0.388292025,0.15317521861350988,0.15373934860199998,-0.6441086414999999,-0.1376381865,1.0002910717057423,2564.8342278949126,2695.9314885226445
b[20],-0.47663279724005,-0.475637895,0.16493670480467615,0.16329154025099993,-0.7415988334999999,-0.20278672200000036,1.0065523475238591,2602.123188632284,3033.0988401851264
b[21],-0.1265523189183655,-0.130733755,0.17222544050406396,0.17023238478330002,-0.40726482,0.1651247085,1.0023964715151705,2337.124807294623,2694.002401658478
b[22],0.31141730007199,0.312610185,0.1529126144270793,0.14938247645999997,0.06175738895,0.5625740294999998,1.0021144006558516,2802.0404384566828,2846.651619358032
b[23],-0.09781956565674126,-0.09703569649999999,0.1656513987290044,0.1672748616861,-0.3659192495,0.17485973949999994,1.0008480679497223,2458.48470664382,2587.7123207192926
b[24],-0.2569534702945675,-0.256376565,0.12726700820314354,0.12802255447800004,-0.468290922,-0.04773810870000018,1.00062435675117,1643.7839310085378,2468.470603611278
b[25],-0.001113892784471514,-0.00298180875,0.19850916568907548,0.199238874828,-0.323820427,0.3254359199999996,1.0006468501289005,3917.7958574164386,2906.1037784544524
b[26],-0.05037933328643675,-0.048329213,0.1563908583822845,0.15372119935409997,-0.309158898,0.2074834509999998,1.0004510494549108,2669.155060102624,2665.6699709284835
b[27],-0.1917265457536725,-0.19154052500000002,0.16496549627123858,0.16677632335139997,-0.461970927,0.0784661421499997,1.0015098390865336,3067.262373070951,2792.096547466539
b[28],0.177505430311655,0.17859371000000002,0.17950310134808914,0.1812168940533,-0.11075949399999999,0.4755309424999998,1.000747197108745,3147.3078630298196,2558.929497628834
b[29],0.7047196792325,0.7035309,0.17819585195290583,0.17635612249500007,0.4142943725,0.9983744794999999,1.0014443675183446,3610.160808759435,2909.7265473773687
b[30],0.284826938873114,0.28588446,0.18140400198912948,0.17801784281400002,-0.014697814600000001,0.5852089854999998,1.0020030769700634,3531.7295973808714,2764.3553544489805
b[31],-0.29579563581467777,-0.29214701499999995,0.17857270569587314,0.17309117042699998,-0.589602368,6.95624008499551e-4,1.0011967517270004,3093.101552789726,2752.9805932191
b[32],0.85309218945,0.8513342349999999,0.21246647198703272,0.21227336029200003,0.505975321,1.20062189,1.0034840364678852,3435.9422995511077,2513.943292285889
